Infraccio_Codi Infraccio_Desc_Curta_CA Infraccio_Desc_Curta_ES Infraccio_Desc_Llarga_CA Infraccio_Desc_Llarga_ES Normativa Import_Nominal_€ Tipus_Infraccio Punts_A_Retirar 
1050 ESTACIONAR_EN_VORERA ESTACIONAR_EN_ACERA Estacionar_a_la_vorera - OCVV 90 E 0 
1051 ESTACIONAR_EN_ANDANA/PARTERRE/REFUGI ESTACIONAR_EN_ANDEN/PARTERRE/REFUGIO Estacionar_en_una_andana,_en_un_parterre_o_en_un_refugi. - OCVV 90 E 0 
1052 ESTACIONAR_EN_PASSEIG_CENTRAL_O_LATERAL ESTACIONAR_EN_PASEO_CENTRAL_O_LATERAL Estacionar_en_un_passeig_central_o_lateral. - OCVV 60 E 0 
1053 ESTACION_ZONA_SENYAL_FRANGES_AL_PAVIMENT ESTACION_ZONA_SENALIZ_FRANJAS_PAVIMENTO Estacionar_en_una_zona_senyalitzada_amb_marques_al_paviment. - OCVV 90 E 0 
1054 ESTACIONAR_AL_COSTAT_D_ANDANA_O_REFUGI ESTACIONAR_AL_LADO_DE_ANDEN_O_REFUGIO Estacionar_al_costat_d'andanes_o_refugis. - OCVV 60 E 0 
1055 ESTAC_COSTAT_PASSEIG_CENTRAL_O_LATERAL ESTACION_LADO_DE_PASEO_CENTRAL_O_LATERAL Estacionar_al_costat_d'un_passeig_central_o_lateral. - OCVV 60 E 0 
1056 ESTAC_COSTAT_ZONA_SENYALIT_FRANGES_PAVIM ESTAC_LADO_ZONA_SENALIZAD_FRANJAS_PAVIM Estacionar_al_costat_de_zones_senyalitzades_amb_franges_al_paviment. - OCVV 60 E 0 
1057 ESTAC_EN_LLOC_ON_ES_PROHIBEIX_LA_PARADA ESTAC_EN_LUGAR_DONDE_SE_PROHIBE_PARADA Estacionar_en_llocs_on_es_prohibeix_la_parada. - OCVV 90 E 0 
1058 CIRCULAR_VEHICLE_ESCAPAMENT_GASOS_LLIURE CIRCULAR_VEHICULO_CON_ESCAPE_GASES_LIBRE Circular_un_vehicle_de_motor_amb_escapament_de_gasos_lliure. - OCVV 90 M 0 
1059 CIRCULAR_VEHICLE_SILENCIADOR_INADEQUAT CICULAR_VEHICULO_SILENCIADOR_INADECUADO Circular_un_vehicle_de_motor_amb_un_silenciador_incomplet,_inadequat_o_deteriorat,_o_amb_un_tub_ressonador. - OCVV 90 M 0 
1060 EST_ZONA_CAR/DES_I_VEH_COM_SENSE_EFEC_OP EST_ZONA_CAR/DES_Y_VEH_COMER_SIN_EFEC_OP Estacionar_en_una_zona_senyalitzada_com_a_zona_reservada_de_carrega_i_descarrega_de_mercaderies - OCVV 60 E 0 
1061 ESTAC_DAVANT_DE_GUAL_DEGUDAMENT_SENYALIT ESTAC_DELANTE_DE_VADO_DEBIDAMENT_SENALIZ Estacionar_de_forma_total_o_parcial_en_guals_degudament_senyalitzats. - OCVV 60 E 0 
